date,commodity,sales,checking the avg
3/24/2024,tea,57,45
3/25/2024,tea,42,45
3/26/2024,tea,39,45
3/27/2024,tea,41,45
3/28/2024,tea,40,45
3/29/2024,tea,44,45
3/30/2024,tea,58,46
3/31/2024,tea,61,46
4/1/2024,tea,42,46
4/2/2024,tea,39,46
4/3/2024,tea,41,46
4/4/2024,tea,40,46
4/5/2024,tea,43,46
4/6/2024,tea,55,46
4/7/2024,tea,58,45
4/8/2024,tea,41,45
4/9/2024,tea,38,45
4/10/2024,tea,40,45
4/11/2024,tea,42,45
4/12/2024,tea,44,45
4/13/2024,tea,56,46
4/14/2024,tea,59,46
4/15/2024,tea,42,46
4/16/2024,tea,39,46
4/17/2024,tea,41,46
4/18/2024,tea,40,46
4/19/2024,tea,43,46
4/20/2024,tea,55,46
4/21/2024,tea,58,45
4/22/2024,tea,41,45
4/23/2024,tea,38,45
4/24/2024,tea,40,45
4/25/2024,tea,42,45
4/26/2024,tea,44,45
4/27/2024,tea,56,46
4/28/2024,tea,59,46
4/29/2024,tea,42,46
4/30/2024,tea,39,46
5/1/2024,tea,41,46
5/2/2024,tea,40,46
5/3/2024,tea,43,46
5/4/2024,tea,55,46
5/5/2024,tea,58,45
5/6/2024,tea,41,45
5/7/2024,tea,38,45
5/8/2024,tea,40,45
5/9/2024,tea,42,45
5/10/2024,tea,44,45
5/11/2024,tea,56,46
5/12/2024,tea,59,46
5/13/2024,tea,42,46
5/14/2024,tea,39,46
5/15/2024,tea,41,46
5/16/2024,tea,40,46
5/17/2024,tea,43,46
5/18/2024,tea,55,46
5/19/2024,tea,58,45
5/20/2024,tea,41,45
5/21/2024,tea,38,45
5/22/2024,tea,40,45
5/23/2024,tea,42,45
5/24/2024,tea,44,45
5/25/2024,tea,56,46
5/26/2024,tea,59,46
5/27/2024,tea,42,46
5/28/2024,tea,39,46
5/29/2024,tea,41,46
5/30/2024,tea,40,46
5/31/2024,tea,43,46
6/1/2024,tea,55,46
6/2/2024,tea,58,45
6/3/2024,tea,41,45
6/4/2024,tea,38,45
6/5/2024,tea,40,45
6/6/2024,tea,42,45
6/7/2024,tea,44,45
6/8/2024,tea,56,46
6/9/2024,tea,59,46
6/10/2024,tea,42,46
6/11/2024,tea,39,46
6/12/2024,tea,41,46
6/13/2024,tea,40,46
6/14/2024,tea,43,46
6/15/2024,tea,55,46
6/16/2024,tea,58,45
6/17/2024,tea,41,45
6/18/2024,tea,38,45
6/19/2024,tea,40,45
6/20/2024,tea,42,45
6/21/2024,tea,44,45
6/22/2024,tea,56,46
6/23/2024,tea,59,46
6/24/2024,tea,42,46
6/25/2024,tea,39,46
6/26/2024,tea,41,46
6/27/2024,tea,40,46
6/28/2024,tea,43,46
6/29/2024,tea,55,46
